Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,aggregateCases,aggregateCasesPerOneHundredThousand,meanAggregateCases,,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,meanPopulation,lessHighSchoolDiploma,lessHSPercent,highSchoolDiplomaOnly,hsOnlyPercent,someCollegeOrAssociateDegree,someCollegePercent,bachelorDegreeOrHigher,bachelorPercent,aggregateEducation,"Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2009,Median_Household_Income_2010,Median_Household_Income_2011,Median_Household_Income_2012,Median_Household_Income_2013,aggregateMedianHouseInc,aggregateMedianIncPercentage
Alabama-Autauga County,Alabama,Autauga County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50756,54613,55278,55265,55246,54231.6,5143,0.094834008,12211,0.225163927,10870,0.200436646,7472,0.13777945,35696,14,34,30,21,25759,24138,1621,6,25429,23933,1496,6,53081,53049,48863,51441,51868,51660.4,0.952588528
Alabama-Baldwin County,Alabama,Baldwin County,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,3,0.00003,0.6,,179878,183223,186727,190675,195540,936043,14209,0.015179858,37927,0.040518438,41840,0.044698801,36087,0.038552716,130063,11,29,32,28,85093,79414,5679,7,85815,80620,5195,6,48637,47618,50144,48867,47539,48561,0.051879027
Alabama-Barbour County,Alabama,Barbour County,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00001,0.2,,29737,27341,27301,27232,27076,138687,5002,0.036066827,6245,0.045029455,5196,0.03746566,2545,0.018350675,18988,26,33,27,13,9087,8146,941,10,8798,7847,951,11,28802,33074,30117,30287,30981,30652.2,0.22101711
Alabama-Bibb County,Alabama,Bibb County,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,21587,22883,22770,22662,22512,112414,3459,0.030770189,6256,0.055651431,3774,0.033572331,1851,0.016465921,15340,23,41,25,12,8675,7995,680,8,8560,7949,611,7,38294,35472,37347,37392,39781,37657.2,0.334986745
Alabama-Blount County,Alabama,Blount County,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00001,0.2,,58345,57352,57742,57807,57872,289118,8937,0.030911254,13463,0.046565762,11749,0.040637387,4697,0.016245962,38846,23,35,30,12,24839,23263,1576,6,24614,23101,1513,6,41520,42906,41940,44225,44392,42996.6,0.148716441
Alabama-Bullock County,Alabama,Bullock County,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10985,10881,10618,10605,10639,53728,2421,0.045060304,2548,0.047424062,1603,0.029835468,938,0.017458309,7510,32,34,21,12,4780,4319,461,10,4679,4254,425,9,24206,25969,26038,25854,25937,25600.8,0.476488982
Alabama-Butler County,Alabama,Butler County,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00001,0.2,,19964,20944,20662,20384,20265,102219,3337,0.032645594,5212,0.050988564,3560,0.034827185,1971,0.01928213,14080,24,37,25,14,9134,8183,951,10,9253,8460,793,9,27794,29500,30489,30605,31041,29885.8,0.292370303
Alabama-Calhoun County,Alabama,Calhoun County,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,6,0.00006,1.2,,114081,118448,117769,117253,116736,584287,16800,0.028752993,25866,0.04426934,23253,0.039797223,12626,0.021609243,78545,21,33,30,16,48189,44043,4146,9,46924,43208,3716,8,37340,37916,39060,39212,37898,38285.2,0.065524648
Alabama-Chambers County,Alabama,Chambers County,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,34320,34110,33995,34074,34162,170661,5905,0.034600758,8525,0.04995283,6522,0.038216113,2804,0.016430233,23756,25,36,27,12,15235,14020,1215,8,15190,14165,1025,7,30621,30061,33500,32320,33883,32077,0.187957413
Alabama-Cherokee County,Alabama,Cherokee County,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24448,25968,26088,26056,26203,128763,4068,0.031592927,6508,0.050542469,5789,0.044958567,2412,0.018732089,18777,22,35,31,13,11371,10621,750,7,11299,10638,661,6,38024,34410,34738,37868,37478,36503.6,0.283494482
Alabama-Chilton County,Alabama,Chilton County,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42971,43700,43786,43800,43951,218208,7047,0.032294875,11751,0.053852288,6718,0.030787139,3786,0.017350418,29302,24,40,23,13,19318,18041,1277,7,19121,17920,1201,6,38916,38553,38833,39621,41348,39454.2,0.180810053
Alabama-Choctaw County,Alabama,Choctaw County,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13990,13849,13598,13585,13426,68448,2381,0.034785531,3580,0.052302478,2510,0.036670173,1132,0.016538102,9603,25,37,26,12,4691,4258,433,9,4479,4073,406,9,31067,32003,32940,33390,33581,32596.2,0.476218443
Alabama-Clarke County,Alabama,Clarke County,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26042,25786,25615,25220,25207,127870,3746,0.029295378,7249,0.056690389,4317,0.033760851,1927,0.015069993,17239,22,42,25,11,8283,7126,1157,14,8101,7091,1010,13,32729,33739,32642,34606,34593,33661.8,0.263250176
Alabama-Clay County,Alabama,Clay County,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13640,13886,13678,13458,13486,68148,2262,0.033192463,3621,0.053134355,2861,0.041982156,887,0.013015789,9631,23,38,30,9,5384,4930,454,8,5446,5053,393,7,34831,33035,32454,34579,33344,33648.6,0.493757704
Alabama-Cleburne County,Alabama,Cleburne County,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14759,14969,14960,14885,14994,74567,2448,0.032829536,4013,0.053817372,2832,0.037979267,922,0.012364719,10215,24,39,28,9,5815,5369,446,8,5764,5377,387,7,37870,37566,39153,38235,40407,38646.2,0.51827484
Alabama-Coffee County,Alabama,Coffee County,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.00001,0.2,,48635,50182,50503,51276,50938,251534,6002,0.023861585,10041,0.039919057,10311,0.04099247,7663,0.030465066,34017,18,30,30,23,20478,19053,1425,7,20213,18862,1351,7,43296,40779,42173,45631,44666,43309,0.172179507
Alabama-Colbert County,Alabama,Colbert County,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54639,54506,54406,54424,54520,272495,6269,0.023005927,13099,0.048070607,11819,0.043373273,6706,0.024609626,37893,17,35,31,18,23798,21878,1920,8,24016,22045,1971,8,37111,37455,37269,39771,40032,38327.6,0.140654324
Alabama-Conecuh County,Alabama,Conecuh County,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12931,13218,13130,13009,12887,65175,2035,0.031223629,3905,0.059915612,2233,0.034261603,786,0.012059839,8959,23,44,25,9,4691,4180,511,11,4629,4132,497,11,26882,27855,26914,27110,27196,27191.4,0.417205984
Alabama-Coosa County,Alabama,Coosa County,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,10556,11563,11117,11000,10898,55134,2031,0.036837523,3472,0.062973846,1836,0.033300686,797,0.01445569,8136,25,43,23,10,4433,4033,400,9,4400,4011,389,9,34795,33721,34391,32960,35175,34208.4,0.620459245
Alabama-Covington County,Alabama,Covington County,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36678,37790,38053,37856,37886,188263,5689,0.030218365,9007,0.047842646,7869,0.04179791,3727,0.019796774,26292,22,34,30,14,16019,14728,1291,8,15771,14547,1224,8,32179,33484,32138,34017,35187,33401,0.177416699
Alabama-Crenshaw County,Alabama,Crenshaw County,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13781,13867,13915,13981,13986,69530,2219,0.031914282,3619,0.052049475,2491,0.035826262,1207,0.017359413,9536,23,38,26,13,6287,5813,474,8,6244,5810,434,7,31849,35577,34534,33648,34105,33942.6,0.488172012
Alabama-Cullman County,Alabama,Cullman County,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.00001,0.2,,81778,80449,80477,80409,80811,403924,11166,0.027643814,17467,0.043243283,18382,0.045508561,8136,0.020142403,55151,20,32,33,15,35684,33313,2371,7,35477,33314,2163,6,37425,37948,39395,37938,40142,38569.6,0.09548727
Alabama-Dale County,Alabama,Dale County,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,48147,50341,50085,50348,49884,248805,5254,0.021116939,10189,0.040951749,12062,0.048479733,5622,0.022596009,33127,16,31,36,17,20720,19168,1552,8,20397,18938,1459,7,41279,41287,41568,40125,41805,41212.8,0.165642973
Alabama-Dallas County,Alabama,Dallas County,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41925,43840,43167,42692,41996,213620,6252,0.029266923,9962,0.04663421,7678,0.035942327,3955,0.018514184,27847,22,36,28,14,16284,14262,2022,12,15747,13926,1821,12,27088,26195,25859,27400,27524,26813.2,0.12551821
Alabama-DeKalb County,Alabama,DeKalb County,1,49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.00001,0.2,,69380,71106,71422,70977,71013,353898,13818,0.039045149,16429,0.046422981,11716,0.033105584,5033,0.014221612,46996,29,35,25,11,28955,26752,2203,8,28655,26666,1989,7,33919,34822,35487,37644,36713,35717,0.10092456
Alabama-Elmore County,Alabama,Elmore County,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,79233,79512,80010,80417,80902,400074,7204,0.018006669,18277,0.045684048,16816,0.042032224,11274,0.028179787,53571,13,34,31,21,36856,34561,2295,6,36381,34281,2100,6,50194,51013,54866,52324,51650,52009.4,0.12999945
Alabama-Escambia County,Alabama,Escambia County,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37434,38314,38230,38070,37983,190031,6235,0.032810436,9561,0.050312844,7347,0.038662113,3059,0.016097374,26202,24,36,28,12,14258,13029,1229,9,14194,13027,1167,8,31443,31365,32838,33588,33455,32537.8,0.171223642
Alabama-Etowah County,Alabama,Etowah County,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,103645,104498,104323,104311,103931,520708,13026,0.02501594,23385,0.044910007,24519,0.047087811,10547,0.020255114,71477,18,33,34,15,43728,40429,3299,8,43578,40515,3063,7,38575,36088,34927,35737,38587,36782.8,0.070639975
Alabama-Fayette County,Alabama,Fayette County,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17371,17250,17074,17005,16909,85609,3009,0.035148174,4677,0.054632106,2712,0.031678912,1576,0.018409279,11974,25,39,23,13,6387,5859,528,8,6281,5785,496,8,34262,32643,32648,35720,35661,34186.8,0.399336518
Alabama-Franklin County,Alabama,Franklin County,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31091,31757,31765,31685,31532,157830,5783,0.036640689,6982,0.044237471,5968,0.037812837,2325,0.01473104,21058,27,33,28,11,13651,12545,1106,8,13641,12578,1063,8,32588,33649,33705,33173,33332,33289.4,0.210919344
Alabama-Geneva County,Alabama,Geneva County,1,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.00001,0.2,,25961,26793,26815,26969,26727,133265,4286,0.032161483,7173,0.053825085,5373,0.040318163,1947,0.014609988,18779,23,38,29,10,11020,10249,771,7,10783,10056,727,7,31347,34418,33835,33347,35378,33665,0.252616966
Alabama-Greene County,Alabama,Greene County,1,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,8829,8991,8905,8848,8744,44317,1432,0.032312657,2367,0.053410655,1446,0.032628562,770,0.017374822,6015,24,39,24,13,2996,2607,389,13,3000,2621,379,13,26131,27117,24738,24592,25864,25688.4,0.57965115
Alabama-Hale County,Alabama,Hale County,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17975,15732,15389,15420,15406,79922,2376,0.029728986,4319,0.054040189,2458,0.030754986,1339,0.016753835,10492,23,41,23,13,6198,5472,726,12,6142,5540,602,10,30124,31790,31044,31025,33597,31516,0.394334476
Alabama-Henry County,Alabama,Henry County,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16647,17290,17424,17285,17296,85942,2415,0.028100347,4269,0.049673035,3460,0.04025971,2018,0.023480952,12162,20,35,28,17,6935,6403,532,8,6799,6293,506,7,35215,37851,39788,37108,41590,38310.4,0.445770403
Alabama-Houston County,Alabama,Houston County,1,69,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.00003,0.6,,100085,101793,102371,103298,103668,511215,11117,0.021746232,23442,0.045855462,20879,0.040841916,13559,0.026523087,68997,16,34,30,20,45624,42438,3186,7,44834,41781,3053,7,38751,39290,40428,40609,39636,39742.8,0.07774185
Alabama-Jackson County,Alabama,Jackson County,1,71,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,52838,53159,53235,53048,52951,265231,9418,0.03550867,13831,0.052146996,9023,0.034019402,4839,0.018244474,37111,25,37,24,13,23588,21762,1826,8,23306,21626,1680,7,35015,36158,36746,39618,37204,36948.2,0.139305737
Alabama-Jefferson County,Alabama,Jefferson County,1,73,1,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,0.00003,0.6,,665027,658514,657998,658327,659479,3299345,55574,0.016843949,117235,0.03553281,136167,0.041270919,132512,0.040163123,441488,13,27,31,30,314709,293633,21076,7,311833,292161,19672,6,43312,41740,42053,43967,45024,43219.2,0.013099327
Alabama-Lamar County,Alabama,Lamar County,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.00001,0.2,,14200,14499,14292,14265,14236,71492,2434,0.034045767,3877,0.054229844,2883,0.04032619,970,0.013567952,10164,24,38,28,10,5790,5379,411,7,5547,5151,396,7,31226,32993,34731,33940,36475,33873,0.473801264
Alabama-Lauderdale County,Alabama,Lauderdale County,1,77,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0.00003,0.6,,89599,92723,92601,92682,92797,460402,10159,0.022065499,21510,0.04672004,17804,0.038670553,13248,0.028774853,62721,16,34,28,21,43048,39975,3073,7,43367,40253,3114,7,39096,39213,40195,41536,43586,40725.2,0.088455741
Alabama-Lawrence County,Alabama,Lawrence County,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34106,34309,34055,33777,33587,169834,5326,0.031360034,9063,0.053363873,6127,0.036076404,2783,0.016386589,23299,23,39,26,12,14234,13058,1176,8,13988,12835,1153,8,36311,37365,38132,38524,40713,38209,0.224978508
Alabama-Lee County,Alabama,Lee County,1,81,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0.00002,0.4,,135883,140850,143869,147808,150933,719343,11017,0.015315364,21920,0.03047225,23053,0.032047299,26980,0.037506447,82970,13,26,28,33,70396,66201,4195,6,70960,66991,3969,6,37836,40102,42539,43182,44647,41661.2,0.057915626
Alabama-Limestone County,Alabama,Limestone County,1,83,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0.00002,0.4,,78572,83227,85537,87384,88845,423565,10763,0.025410504,17983,0.042456294,16280,0.038435659,13218,0.031206544,58244,18,31,28,23,39358,36869,2489,6,39016,36635,2381,6,46610,49667,46760,49616,50148,48560.2,0.114646394
Alabama-Lowndes County,Alabama,Lowndes County,1,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.00001,0.2,,12293,11278,11116,10846,10703,56236,1927,0.034266306,2713,0.048243118,1674,0.029767409,1062,0.0188847,7376,26,37,23,14,4008,3434,574,14,3906,3402,504,13,28100,28754,28043,28544,29734,28635,0.509193399
Alabama-Macon County,Alabama,Macon County,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21789,21541,21215,20383,19688,104616,2546,0.024336622,3842,0.036724784,3842,0.036724784,2489,0.023791772,12719,20,30,30,20,8397,7583,814,10,8211,7461,750,9,26328,27041,27591,27709,29228,27579.4,0.263625067
Alabama-Madison County,Alabama,Madison County,1,89,0,1,3,3,0,3,4,0,2,1,0,3,5,3,5,12,0.00012,2.4,,327744,336204,339681,342762,346892,1693283,22463,0.013265946,48291,0.028519155,68121,0.040230133,86821,0.051273768,225696,10,21,30,38,171050,160117,10933,6,169656,159203,10453,6,57327,54633,55298,57072,58258,56517.6,0.033377528
Alabama-Marengo County,Alabama,Marengo County,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,20943,20941,20689,20389,20155,103117,2276,0.022072015,5578,0.054093893,3686,0.035745803,2434,0.023604255,13974,16,40,26,17,7612,6936,676,9,7597,6986,611,8,31867,33085,31995,31888,33749,32516.8,0.315338887
Alabama-Marion County,Alabama,Marion County,1,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.00001,0.2,,29116,30814,30741,30538,30334,151543,5527,0.036471497,7733,0.051028421,6432,0.042443399,2059,0.013586903,21751,25,36,30,9,12463,11468,995,8,12160,11181,979,8,32317,32080,30926,32237,34162,32344.4,0.213433811
Alabama-Marshall County,Alabama,Marshall County,1,95,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0.00003,0.6,,90399,93188,93921,94413,94760,466681,14803,0.03171974,20233,0.043355097,17660,0.037841695,9434,0.020215093,62130,24,33,28,15,40506,37739,2767,7,39588,36936,2652,7,37506,38859,38876,36960,38399,38120,0.081683205
Alabama-Mobile County,Alabama,Mobile County,1,97,2,3,2,0,0,0,3,0,3,0,0,0,5,5,1,10,0.0001,2,,411721,413290,412989,413590,414079,2065669,43354,0.020987874,88998,0.043084347,81672,0.039537796,55874,0.027048864,269898,16,33,30,21,186300,170627,15673,8,184133,169947,14186,8,39828,39753,41867,39546,42278,40654.4,0.019680985
Alabama-Monroe County,Alabama,Monroe County,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,22389,23004,22803,22629,22236,113061,3656,0.032336526,5964,0.052750285,4038,0.035715233,1624,0.014363927,15282,24,39,26,11,7761,6825,936,12,7530,6679,851,11,30920,31744,31072,36221,32696,32530.6,0.287726095
Alabama-Montgomery County,Alabama,Montgomery County,1,101,0,2,2,0,0,0,1,0,0,0,0,2,0,1,4,3,0.00003,0.6,,224119,229805,231535,229293,226659,1141411,21161,0.018539334,38460,0.033695137,40787,0.035733842,46113,0.040399996,146521,14,26,28,31,106040,98339,7701,7,104838,97592,7246,7,41084,41556,42962,41430,44013,42209,0.036979668
Alabama-Morgan County,Alabama,Morgan County,1,103,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,2,0.00002,0.4,,117293,119553,119916,120157,119787,596706,15087,0.025283808,25641,0.04297091,24357,0.040819097,16178,0.027112179,81263,19,32,30,20,56849,52947,3902,7,55799,52105,3694,7,40317,44859,43615,44766,44079,43527.2,0.072945806
Alabama-Perry County,Alabama,Perry County,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10623,10534,10513,10194,10020,51884,1962,0.037815126,2535,0.048858993,1397,0.026925449,687,0.013241076,6581,30,39,21,10,3564,3075,489,14,3454,3024,430,12,24351,24742,22175,25215,25461,24388.8,0.470063989
Alabama-Pickens County,Alabama,Pickens County,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19218,19703,19333,19331,19401,96986,2702,0.027859691,5584,0.05757532,3571,0.036819747,1469,0.015146516,13326,20,42,27,11,7395,6709,686,9,7429,6818,611,8,29677,31032,31079,31433,32314,31107,0.320737014
Alabama-Pike County,Alabama,Pike County,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30461,32958,32913,33113,33339,162784,3653,0.02244078,6811,0.041840721,4369,0.026839247,4423,0.027170975,19256,19,35,23,23,14891,13747,1144,8,14839,13757,1082,7,31229,32771,32345,32411,35944,32940,0.20235404
Alabama-Randolph County,Alabama,Randolph County,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22577,22931,22855,22720,22727,113810,4240,0.037255074,5688,0.049978034,3851,0.033837097,1716,0.015077761,15495,27,37,25,11,9190,8475,715,8,9166,8537,629,7,33869,32584,34517,35024,35121,34223,0.300702926
Alabama-Russell County,Alabama,Russell County,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,50846,53246,55008,57721,59585,276406,7084,0.025628966,11560,0.041822536,11644,0.042126437,5776,0.020896797,36064,20,32,32,16,24980,23146,1834,7,24634,23001,1633,7,33537,32733,32632,34310,35762,33794.8,0.122265074
Alabama-St. Clair County,Alabama,St. Clair County,1,115,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0.00002,0.4,,81895,83811,84309,85167,86308,421490,10453,0.024800114,20351,0.048283471,18171,0.043111343,8971,0.021284016,57946,18,35,31,15,38756,36356,2400,6,38380,36153,2227,6,45601,48296,48040,50989,52437,49072.6,0.116426487
Alabama-Shelby County,Alabama,Shelby County,1,117,0,0,0,0,0,0,0,1,0,0,0,1,2,4,6,7,0.00007,1.4,,192503,195844,198117,200983,204180,991627,11641,0.011739293,28372,0.028611565,39311,0.03964293,53458,0.053909383,132782,9,21,30,40,106798,101779,5019,5,106051,101254,4797,5,65408,67135,66362,67244,68718,66973.4,0.067538903
